round_name,round_type,system,bow_type,bow_group,spot_type,score,handicap
Albion,outdoor,imperial,compound,compound,,971,3
Windsor,outdoor,imperial,recurve,non-compound,,972,3
Windsor,outdoor,imperial,compound,compound,,972,3
Windsor 50,outdoor,imperial,recurve,non-compound,,972,3
Windsor 50,outdoor,imperial,compound,compound,,972,3
Windsor 40,outdoor,imperial,recurve,non-compound,,972,3
Windsor 40,outdoor,imperial,compound,compound,,972,3
Windsor 30,outdoor,imperial,recurve,non-compound,,972,3
Windsor 30,outdoor,imperial,compound,compound,,972,3
New Western,outdoor,imperial,recurve,non-compound,,850,3
New Western,outdoor,imperial,compound,compound,,850,3
Long Western,outdoor,imperial,recurve,non-compound,,862,3
Long Western,outdoor,imperial,compound,compound,,862,3
Western,outdoor,imperial,recurve,non-compound,,864,3
Western,outdoor,imperial,compound,compound,,864,3
Western 50,outdoor,imperial,recurve,non-compound,,864,3
Western 50,outdoor,imperial,compound,compound,,864,3
Western 40,outdoor,imperial,recurve,non-compound,,864,3
Western 40,outdoor,imperial,compound,compound,,864,3
Western 30,outdoor,imperial,recurve,non-compound,,864,3
Western 30,outdoor,imperial,compound,compound,,864,3
American,outdoor,imperial,recurve,non-compound,,810,3
American,outdoor,imperial,compound,compound,,810,3
St Nicholas,outdoor,imperial,recurve,non-compound,,756,3
St Nicholas,outdoor,imperial,compound,compound,,756,3
New National,outdoor,imperial,recurve,non-compound,,635,3
New National,outdoor,imperial,compound,compound,,635,3
Long National,outdoor,imperial,recurve,non-compound,,646,3
Long National,outdoor,imperial,compound,compound,,646,3
National,outdoor,imperial,recurve,non-compound,,648,3
National,outdoor,imperial,compound,compound,,648,3
National 50,outdoor,imperial,recurve,non-compound,,648,3
National 50,outdoor,imperial,compound,compound,,648,3
National 40,outdoor,imperial,recurve,non-compound,,648,3
National 40,outdoor,imperial,compound,compound,,648,3
National 30,outdoor,imperial,recurve,non-compound,,648,3
National 30,outdoor,imperial,compound,compound,,648,3
New Warwick,outdoor,imperial,recurve,non-compound,,425,3
New Warwick,outdoor,imperial,compound,compound,,425,3
Long Warwick,outdoor,imperial,recurve,non-compound,,431,3
Long Warwick,outdoor,imperial,compound,compound,,431,3
Warwick,outdoor,imperial,recurve,non-compound,,432,3
Warwick,outdoor,imperial,compound,compound,,432,3
Warwick 50,outdoor,imperial,recurve,non-compound,,432,3
Warwick 50,outdoor,imperial,compound,compound,,432,3
Warwick 40,outdoor,imperial,recurve,non-compound,,432,3
Warwick 40,outdoor,imperial,compound,compound,,432,3
York,outdoor,imperial,recurve,non-compound,,1272,4
York,outdoor,imperial,compound,compound,,1272,4
Hereford / Bristol I,outdoor,imperial,recurve,non-compound,,1292,4
Hereford / Bristol I,outdoor,imperial,compound,compound,,1292,4
Bristol II,outdoor,imperial,recurve,non-compound,,1296,4
Bristol II,outdoor,imperial,compound,compound,,1296,4
Bristol III,outdoor,imperial,recurve,non-compound,,1296,4
Bristol III,outdoor,imperial,compound,compound,,1296,4
Bristol IV,outdoor,imperial,recurve,non-compound,,1296,4
Bristol IV,outdoor,imperial,compound,compound,,1296,4
Bristol V,outdoor,imperial,recurve,non-compound,,1296,4
Bristol V,outdoor,imperial,compound,compound,,1296,4
St George,outdoor,imperial,recurve,non-compound,,959,4
St George,outdoor,imperial,compound,compound,,959,4
Albion,outdoor,imperial,recurve,non-compound,,970,4
Albion,outdoor,imperial,compound,compound,,970,4
Windsor,outdoor,imperial,recurve,non-compound,,972,4
Windsor,outdoor,imperial,compound,compound,,972,4
Windsor 50,outdoor,imperial,recurve,non-compound,,972,4
Windsor 50,outdoor,imperial,compound,compound,,972,4
Windsor 40,outdoor,imperial,recurve,non-compound,,972,4
Windsor 40,outdoor,imperial,compound,compound,,972,4
Windsor 30,outdoor,imperial,recurve,non-compound,,972,4
Windsor 30,outdoor,imperial,compound,compound,,972,4
New Western,outdoor,imperial,recurve,non-compound,,847,4
New Western,outdoor,imperial,compound,compound,,847,4
Long Western,outdoor,imperial,recurve,non-compound,,861,4
Long Western,outdoor,imperial,compound,compound,,861,4
Western,outdoor,imperial,recurve,non-compound,,864,4
Western,outdoor,imperial,compound,compound,,864,4
Western 50,outdoor,imperial,recurve,non-compound,,864,4
Western 50,outdoor,imperial,compound,compound,,864,4
Western 40,outdoor,imperial,recurve,non-compound,,864,4
Western 40,outdoor,imperial,compound,compound,,864,4
Western 30,outdoor,imperial,recurve,non-compound,,864,4
Western 30,outdoor,imperial,compound,compound,,864,4
American,outdoor,imperial,recurve,non-compound,,810,4
American,outdoor,imperial,compound,compound,,810,4
St Nicholas,outdoor,imperial,recurve,non-compound,,756,4
St Nicholas,outdoor,imperial,compound,compound,,756,4
New National,outdoor,imperial,recurve,non-compound,,633,4
New National,outdoor,imperial,compound,compound,,633,4
Long National,outdoor,imperial,recurve,non-compound,,645,4
Long National,outdoor,imperial,compound,compound,,645,4
National,outdoor,imperial,recurve,non-compound,,648,4
National,outdoor,imperial,compound,compound,,648,4
National 50,outdoor,imperial,recurve,non-compound,,648,4
National 50,outdoor,imperial,compound,compound,,648,4
National 40,outdoor,imperial,recurve,non-compound,,648,4
National 40,outdoor,imperial,compound,compound,,648,4
National 30,outdoor,imperial,recurve,non-compound,,648,4
National 30,outdoor,imperial,compound,compound,,648,4
New Warwick,outdoor,imperial,recurve,non-compound,,424,4
New Warwick,outdoor,imperial,compound,compound,,424,4
Long Warwick,outdoor,imperial,recurve,non-compound,,431,4
Long Warwick,outdoor,imperial,compound,compound,,431,4
Warwick,outdoor,imperial,recurve,non-compound,,432,4
Warwick,outdoor,imperial,compound,compound,,432,4
Warwick 50,outdoor,imperial,recurve,non-compound,,432,4
Warwick 50,outdoor,imperial,compound,compound,,432,4
Warwick 40,outdoor,imperial,recurve,non-compound,,432,4
